,Time,CPU_Percentage,Scripts,Number_scripts,Bloque,RAM_Percentage
1,1623430170,14.0,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
2,1623430171,0.8,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
3,1623430172,4.0,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
4,1623430173,3.6,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
5,1623430174,1.4,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
6,1623430175,2.2,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
7,1623430176,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
8,1623430177,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
9,1623430178,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
10,1623430179,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
11,1623430180,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
12,1623430181,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
13,1623430183,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
14,1623430184,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
15,1623430185,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
16,1623430186,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
17,1623430187,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
18,1623430188,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
19,1623430189,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
20,1623430190,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
21,1623430191,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
22,1623430192,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
23,1623430193,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
24,1623430194,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
25,1623430195,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
26,1623430196,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
27,1623430197,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
28,1623430198,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
29,1623430199,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
30,1623430200,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
31,1623430201,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
32,1623430202,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
33,1623430203,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
34,1623430204,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
35,1623430205,2.0,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
36,1623430206,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
37,1623430207,2.0,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
38,1623430208,2.0,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
39,1623430209,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
40,1623430210,1.9,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
41,1623430211,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
42,1623430212,2.0,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
43,1623430213,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
44,1623430214,1.8,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
45,1623430215,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
46,1623430216,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
47,1623430217,2.0,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
48,1623430218,1.9,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
49,1623430219,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
50,1623430220,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.2
